Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Bids,Asks,Imbalance,Imbalance1h,Imbalance24h,Imbalance1hSign,Imbalance24hSign
962,2,187,38968.62676852401,11476.260000000002,34236.944269659645,11342.560000000001,13.1,5.45,187.0,0.25,757.364418382941,599.3949461524446,5766.24639766841,-17628.227286457353,13216.272038150473,15317.039576262781,4883.2911018644845,1,1
963,2,187,40953.48541037004,11466.58,36360.78996921573,11432.160000000003,12.3,4.45,187.0,0.0,610.4585690081587,546.4908764695848,6939.943461408757,-17625.93362558074,15317.039576262781,18066.666951434694,3371.301788199551,1,1
964,2,187,48135.48042752357,11453.48,41635.79026947546,11617.16,11.7,4.45,177.0,0.0,723.5600274873042,670.5468613624342,6918.751049714012,-17636.184049631225,18066.666951434694,18570.446553319794,5847.365722811031,1,1
965,2,187,54285.90525086899,11451.210000000001,48463.44011567758,11799.120000000003,12.7,6.45,187.0,0.0,922.8604546109723,855.7701862772417,2860.8012220026003,-17744.552516325428,18570.446553319794,8140.972595370348,4414.722074072473,1,1
966,2,187,57946.95618542319,11981.66,53648.49159212214,12077.940000000002,12.7,7.45,197.0,0.0,746.6118041489841,973.5854400360545,47198.17373673497,-17820.726739720045,8140.972595370348,9320.152835727604,6827.637116896486,1,1
967,2,187,77037.37116666441,15752.690000000002,73948.61560639717,16979.447781528375,12.5,7.45,187.0,0.0,994.0058553262065,886.7189389966356,3725.037771877675,-17588.772242484873,9320.152835727604,-19539.451686239445,19373.44857384632,-1,1
968,2,187,70404.0078212699,27519.846011961963,69353.30959059755,13651.795600000003,13.3,8.45,197.0,0.0,1396.8332721992565,1053.1053930781313,2938.70314479286,-17678.766827566793,-19539.451686239445,-6467.749691673651,22987.0236110798,-1,1
969,2,187,64968.81373951667,23975.269691673544,61451.051594796765,14318.450000000006,13.9,7.45,187.0,0.375,1243.263978775109,904.5852733370916,8652.142906652285,-17701.982215854532,-6467.749691673651,15497.482251069032,25055.064221719414,1,1
970,2,187,65848.63797724049,35667.96,59379.09259932945,18171.120050045003,14.7,8.45,197.0,0.75,1141.9346522267047,890.4409812660675,3875.7544933049808,-17620.71905888729,15497.482251069032,18357.678054064687,5048.2027521327345,1,1
971,2,187,60286.31437729569,35953.03999999999,57505.90776102786,14435.949999999997,14.7,6.45,197.0,0.875,1106.8693736695973,915.7450354033804,4347.980799688353,-17733.308211946827,18357.678054064687,26033.064616235188,2929.8823276659687,1,1
972,2,187,56304.94611977995,30412.729999999996,52276.650958533784,13622.739981481014,15.3,9.45,207.0,0.875,1101.3077932821318,955.5695890076981,4500.248042792392,-17645.198666452754,26033.064616235188,41259.63350593105,-5304.882593121722,1,-1
