Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Imbalance,Imbalance24h,Imbalance24hSign
492,2,187,58300.22899,31182.97981,60586.99372,2680.287421,10.1,3.52,162,0.84,461.9672997,462.3251572,-12397.79986,-22085.73778,-1
493,2,187,58871.40379,37600.1,56395.43758,11231.00374,9.8,4.52,162,0.84,1158.625154,345.9396989,17581.00593,-10925.80002,-1
494,2,187,62680.69885,33514.6,59770.55908,9638.412383,9.9,4.52,172,0.84,519.2051814,401.5886897,12850.46241,-13082.79,-1
495,2,187,61269.8097,19493.28,63620.26568,2156.636207,9.7,3.52,182,0.84,517.5017442,456.482272,4967.126921,-6473.30514,-1
496,2,187,58586.11129,16578.76,57750.75007,1131.43,9.7,3.52,182,0.84,496.3590555,306.5849993,7629.964587,-3221.017281,-1
497,2,187,58446.57939,7172.79,57904.151,334.3552856,9.7,4.52,182,0.84,674.7042035,413.2645836,9530.700698,4600.036036,1
498,2,187,60794.63278,5080.923299,58727.70075,0,9.4,4.52,182,0.84,533.0742713,353.3225628,-4753.686238,1354.564577,1
499,2,187,56541.19835,5089.975868,55830.94897,0,9.3,3.52,202,0.84,534.5320844,373.6389171,-4620.819674,2195.207198,1
500,2,187,57161.21045,5166.391813,54585.22582,5197.55,8.9,2.52,182,0.84,578.1115288,415.7544697,-8114.522097,-5024.295359,-1
501,2,187,50599.58787,5382.073906,46641.466,290.38,9.1,2.52,182,0.84,467.9555017,482.8497847,-4495.220351,-4767.828708,-1
502,2,187,48845.55469,5243.505554,42355.14699,23.0066199,9.5,3.52,192,0.84,407.2671379,500.4788501,-6585.358664,3526.543292,1
503,2,187,40892.7153,5194.311629,38649.10321,0,9.8,2.52,212,0.84,378.735278,380.2505313,-2860.902094,378.2496406,1
504,2,187,34259.10561,5145.330056,37288.73502,45.42722059,9.9,1.78,203,1,297.8706635,408.5337726,-6761.916297,-2292.948782,-1
505,2,187,37253.03991,5369.73,39983.75644,5053.08,9.8,1.78,183,1,248.4255141,465.6542488,8733.976715,603.7022591,1
506,2,187,38166.92344,5027.02,32791.34783,56.94729013,9.4,2.78,183,1,340.8775561,395.4596161,9279.891135,9133.084773,1
507,2,187,41829.48965,0,40649.13791,5060.44,9.6,2.78,193,1,392.2989879,478.3021594,5206.945026,11041.08277,1
508,2,187,56763.4054,29.52924429,50342.06997,48.71566081,9.6,2.78,163,1,330.5005283,384.3109241,-9840.310097,8472.400129,1
509,2,187,62626.99781,317.1331557,55530.32797,5385.418614,9.6,3.78,163,1,351.5866548,425.2948307,-9650.247217,5827.194591,1
510,2,187,51808.83464,6949.30896,50691.15274,5327.198873,9.6,2.78,153,1,310.5263164,435.5842198,-6955.518097,-600.0129246,-1
511,2,187,72183.5893,10050.24533,68782.76821,6525.941554,9.7,4.78,163,1,408.6859155,616.689931,-16694.5715,-10262.3431,-1
512,2,187,62416.71359,8991.548532,68379.2764,13956.90744,9.6,5.78,163,1,378.5027386,686.2346431,-9047.535777,-11409.13935,-1
513,2,187,59996.97008,9911.768338,66104.63402,10905.70884,9.5,5.78,143,1,333.8077352,621.0547114,-9833.467058,-5988.330126,-1
514,2,187,60451.97364,40074.54,59690.97767,11370.94457,10.1,6.78,153,1,387.7241534,596.3119457,9421.186564,-7244.937018,-1
515,2,187,51931.23062,46346.11,56836.2055,17554.03621,11.5,6.78,153,1,364.7875525,511.1024781,18693.24319,1773.998615,1
516,2,187,47731.7888,8488.957495,58300.22899,31182.97981,11.6,8.78,153,1,462.3251572,576.3647922,-22085.73778,8484.455776,1
517,2,187,47321.70294,8234.378111,58871.40379,37600.1,11.4,6.78,153,1,345.9396989,606.9764104,-10925.80002,7512.184113,1
518,2,187,49996.47209,7008.551851,62680.69885,33514.6,11.4,7.78,163,1,401.5886897,613.0966637,-13082.79,771.6805897,1
